"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency"
"222","Jackson Nelson","WCE","DEF",61,320238,397600,-77362,14,74,72.33,4.75,82.35,66.6,0.27,7.03,4.88,6.16,4.06,2.88
"223","Will Snelling","ESS","FWD",61,319982,368500,-48518,17,68.6,78.25,4.32,100,66,0.06,8.16,4.16,8,4.02,0.65
"224","Charlie Cameron","BRI","FWD",61,318830,395400,-76570,17,73.6,76.81,3.33,100,70,0.21,7.89,2.51,8,4.26,2.24
"225","Jamie Elliott","COL","MID",61,318574,362700,-44126,16,67.5,85.42,4,94.12,70.83,0,9.54,3.63,7.39,4.31,0.01
"226","Jamie Elliott","COL","FWD",61,318574,362700,-44126,16,67.5,85.42,4,94.12,70.83,0,9.54,3.63,7.39,4.31,0.01
"227","Gryan Miers","GEE","FWD",61,318061,387100,-69039,17,72.1,71.57,4.39,100,68.67,0.14,6.88,4.28,8,4.18,1.5
"228","Ethan Hughes","FRE","DEF",60,316781,381800,-65019,17,71.1,71,4.26,100,87.2,0.06,6.77,4.06,8,5.26,0.65
"229","Stephen Hill","FRE","DEF",60,316653,338000,-21347,12,62.9,96,4.36,70.59,65.4,0,11.57,4.23,4.93,3.99,0.01
"230","Luke Davies-Uniacke","NME","MID",60,315885,432800,-116915,9,80.6,80.56,5.78,52.94,86.25,0.11,8.61,6.6,3.08,5.2,1.18
"231","Connor Rozee","POR","FWD",59,312299,377200,-64901,14,70.2,78.71,4.17,82.35,66.33,0.19,8.25,3.91,6.16,4.04,2.03
"232","Aaron Hall","NME","FWD",59,312043,392200,-80157,15,73,73.5,4.87,88.24,50.67,0.2,7.25,5.08,6.77,3.13,2.14
"233","John Noble","COL","DEF",59,310251,393300,-83049,15,73.2,69,5.17,88.24,69,0.12,6.39,5.58,6.77,4.2,1.29
